App,review_count,avg_polarity,avg_subjectivity,pos_pct,neg_pct,neu_pct
Agar.io,136,-0.06060223338072603,0.45973048669739847,44.1,48.5,7.4
Age Calculator,32,0.1313830266955267,0.6030233698593074,59.4,28.1,12.5
Agoda – Hotel Booking Deals,35,0.4795306122448979,0.6043673469387756,85.7,5.7,8.6
Air Traffic,22,0.29464074593335954,0.4859695165945166,72.7,13.6,13.6
AirAsia,21,-0.1036063011063011,0.43236171236171234,38.1,47.6,14.3
AirBrush: Easy Photo Editor,24,0.3520497384559884,0.4650115740740741,70.8,4.2,25.0
Airbnb,62,0.1080045398230162,0.49490795255052167,58.1,30.6,11.3
Airport + Flight Tracker Radar,22,0.08928481240981238,0.42453282828282823,59.1,31.8,9.1
Airway Ex - Intubate. Anesthetize. Train.,39,0.22094190098096347,0.49310152810152813,64.1,20.5,15.4
Akinator,38,-0.01489888966932038,0.4953002693665287,50.0,47.4,2.6
AlReader -any text book reader,39,0.2455511849261849,0.41257682132682133,61.5,15.4,23.1
Alarm Clock,36,0.17466728294853293,0.371872185813158,61.1,11.1,27.8
Alarm Clock Free,34,0.15576177498971616,0.35684034219748506,55.9,14.7,29.4
Alfred Home Security Camera,30,0.33757424242424244,0.4758727272727273,70.0,0.0,30.0
"AliExpress - Smarter Shopping, Better Living",45,0.038380545534712186,0.6177662898829566,64.4,35.6,0.0
All Email Providers,5,0.21500000000000002,0.6066666666666667,60.0,40.0,0.0
All Events in City,25,0.5028597402597402,0.5618210678210679,92.0,0.0,8.0
All Football - Latest News & Videos,32,0.43206329477813854,0.5105386453823954,84.4,9.4,6.2
"All Football GO- Live Score, Games",36,0.5265151515151515,0.5140277777777779,83.3,2.8,13.9
All Language Translator Free,30,0.3927835497835498,0.5550324675324675,80.0,0.0,20.0
All Maths Formulas,33,0.354636544011544,0.421768278018278,78.8,3.0,18.2
All Mental disorders,65,0.1986024636532449,0.4228739316239316,66.2,18.5,15.4
All Social Networks,34,-0.10641024212715389,0.5138202177724237,35.3,50.0,14.7
All Video Downloader 2018,34,0.3826797385620915,0.5417320261437909,67.6,8.8,23.5
"All-In-One Toolbox: Cleaner, Booster, App Manager",22,0.26733509335782063,0.5456981066071975,68.2,18.2,13.6
All-in-One Mahjong 3 FREE,1,0.5,0.6,100.0,0.0,0.0
Allegiant,3,0.2333333333333333,0.2333333333333333,66.7,0.0,33.3
Allrecipes Dinner Spinner,19,0.2729995443153338,0.5816768246373509,84.2,15.8,0.0
Alto's Adventure,175,0.03982694182829145,0.5261316988814583,58.9,41.1,0.0
Amazon Drive,36,0.1298491985987103,0.4733768187830688,50.0,38.9,11.1
"Amazon FreeTime – Kids’ Videos, Books, & TV shows",35,0.3425348246524717,0.5080825644943292,80.0,8.6,11.4
Amazon Kindle,117,0.06519186713433872,0.46011748819829623,55.6,28.2,16.2
Amazon Prime Video,2,0.46111111111111114,0.5555555555555556,100.0,0.0,0.0
Amazon Shopping,45,0.1820225865037373,0.4624378936759889,48.9,28.9,22.2
Amazon for Tablets,20,0.10113604797979796,0.37119065656565653,50.0,35.0,15.0
American Airlines,43,-0.07563614410998132,0.48372397843328074,46.5,44.2,9.3
Amex Mobile,36,0.17566632595799261,0.4177012452568008,55.6,22.2,22.2
Amino: Communities and Chats,35,0.04758960435151364,0.5375361254760332,65.7,34.3,0.0
Amtrak,39,-0.028284245516388376,0.369246213442642,28.2,41.0,30.8
Anatomy Learning - 3D Atlas,36,0.22653244999599165,0.48883272206188877,77.8,13.9,8.3
Ancestry,37,0.27263030438253655,0.5161272868415725,75.7,10.8,13.5
AndroZip™ FREE File Manager,39,0.11732338494838494,0.39017196692196693,53.8,25.6,20.5
"Android Auto - Maps, Media, Messaging & Voice",31,0.28779230407542616,0.5447434959291718,96.8,3.2,0.0
Android Messages,43,0.071675937548939,0.5132160195532288,53.5,37.2,9.3
Anger of stick 5 : zombie,3,0.11944444444444441,0.5027777777777778,66.7,33.3,0.0
Angry Birds 2,29,0.002282199760648026,0.49623943585150476,55.2,44.8,0.0
